"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Freddy Galvis","- - -","931","3688","96","395","371","55","5.8%","20.3%",".140",".293",".251",".297",".391",".295","","82","4.9","-77.4","60.1","10.6","6609"
"Kole Calhoun","- - -","990","4030","148","497","466","26","9.3%","23.3%",".176",".278",".237",".314",".413",".313","","97","1.7","-9.9","-22.1","10.6","11200"
"Rougned Odor","- - -","981","3850","165","481","502","64","6.1%","24.3%",".199",".261",".228",".286",".427",".304","","84","12.7","-62.0","34.0","10.6","12282"
"Ian Happ","CHC","678","2438","104","305","308","37","11.2%","28.8%",".211",".320",".249",".339",".460",".341","","114","0.3","43.7","-22.3","10.5","17919"
"Kevin Pillar","- - -","944","3614","92","430","371","91","4.0%","16.1%",".150",".288",".260",".297",".411",".303","","88","23.7","-29.6","12.5","10.5","12434"
"Didi Gregorius","- - -","886","3535","121","420","473","34","5.5%","13.9%",".171",".270",".259",".306",".431",".314","","96","17.5","-0.9","-14.8","10.5","6012"
"Austin Riley","ATL","450","1858","97","246","276","2","7.6%","26.5%",".235",".327",".272",".339",".507",".359","","125","-7.3","47.7","-7.2","10.4","18360"
"Avisail Garcia","- - -","908","3632","121","427","447","42","6.3%","24.0%",".157",".322",".264",".320",".422",".318","","101","-10.1","-4.0","-16.7","10.3","5760"
"Christian Vazquez","- - -","678","2432","54","268","256","28","5.9%","18.1%",".128",".304",".263",".310",".391",".303","","85","-27.6","-70.7","93.0","10.3","9774"
"Gleyber Torres","NYY","576","2336","98","290","310","36","8.6%","21.9%",".190",".304",".265",".331",".455",".335","","114","-1.8","37.5","-13.7","10.3","16997"
"Yuli Gurriel","HOU","801","3305","94","400","435","23","5.7%","11.2%",".163",".294",".284",".328",".448",".331","","111","-7.8","38.4","-47.3","10.3","19198"
"Joey Wendle","- - -","537","1982","30","232","199","54","5.6%","18.2%",".128",".319",".271",".322",".399",".311","","100","5.4","5.5","27.8","10.1","13853"
"Ramon Laureano","OAK","407","1640","62","225","184","45","7.3%","26.4%",".193",".311",".251",".324",".444",".330","","114","12.8","40.9","3.4","10.1","17128"
"Curtis Granderson","- - -","715","2608","107","364","265","23","12.7%","23.3%",".209",".266",".231",".335",".440",".333","","111","-1.6","32.5","-21.6","9.9","4747"
"Josh Reddick","- - -","783","2966","80","354","343","38","8.2%","13.8%",".150",".295",".274",".331",".424",".324","","105","6.7","24.7","-29.3","9.9","3892"
"Jake Cronenworth","SDP","364","1519","42","208","179","10","9.4%","16.5%",".175",".285",".256",".338",".431",".333","","114","7.9","34.8","10.2","9.8","18036"
"Cedric Mullins II","BAL","430","1765","53","226","150","74","7.6%","19.2%",".170",".302",".263",".328",".432",".328","","109","11.4","30.4","7.9","9.8","17929"
"Jason Castro","- - -","552","1866","57","207","176","3","11.3%","31.5%",".162",".294",".214",".308",".376",".300","","88","-8.4","-34.5","67.4","9.8","8722"
"Jonathan Villar","- - -","887","3404","93","425","308","204","8.8%","26.3%",".147",".336",".259",".327",".406",".317","","97","26.6","14.7","-30.0","9.7","10071"
"Daniel Murphy","- - -","679","2674","90","344","406","13","6.6%","11.5%",".193",".315",".304",".351",".497",".355","","118","-2.3","56.3","-48.6","9.6","4316"
"Martin Maldonado","- - -","802","2728","80","267","257","2","8.0%","26.3%",".141",".255",".205",".284",".346",".276","","72","-21.1","-114.4","116.9","9.5","6887"
"Corey Dickerson","- - -","834","3095","105","365","359","20","5.4%","20.3%",".192",".322",".278",".319",".469",".333","","109","-7.7","26.8","-33.2","9.5","10762"
"Ben Zobrist","- - -","587","2358","53","319","257","14","12.3%","12.4%",".149",".291",".271",".362",".420",".340","","112","-2.3","30.1","-14.9","9.4","7435"
"Jedd Gyorko","- - -","611","2015","88","218","256","10","8.9%","22.2%",".188",".284",".251",".319",".439",".325","","104","-9.7","1.4","25.5","9.4","10816"
"C.J. Cron","- - -","899","3512","164","404","530","10","6.9%","22.8%",".215",".297",".261",".324",".475",".340","","111","-14.0","32.7","-60.5","9.3","12546"
"Hunter Renfroe","- - -","701","2683","157","345","394","14","7.5%","25.9%",".250",".267",".240",".300",".490",".332","","109","-5.0","23.7","-19.4","9.3","15464"
"Miguel Rojas","MIA","870","2920","38","293","260","46","6.3%","12.3%",".101",".292",".265",".318",".366",".298","","88","-11.1","-54.6","53.0","9.3","7802"
"Mike Yastrzemski","SFG","448","1726","73","251","218","13","10.1%","25.1%",".223",".288",".242",".326",".465",".337","","113","8.9","38.9","-5.0","9.2","14854"
"Paul DeJong","STL","617","2410","102","300","306","19","8.0%","26.1%",".195",".276",".233",".306",".428",".314","","97","1.3","-5.7","17.5","9.2","18015"
"Wilmer Flores","- - -","910","3172","119","368","404","4","6.8%","13.7%",".179",".271",".264",".319",".442",".326","","107","-19.2","8.7","-22.6","9.1","5827"
